class_code,date,active_vegetation_endmembers,candidate_ids,reviewed_at
"11","2024-05-08","EM02|EM03","TCAMZ_C11_D20240508_PPI_EM02|TCAMZ_C11_D20240508_PPI_EM03","2026-08-15T21:31:24.820Z"
"11","2024-05-24","EM04","TCAMZ_C11_D20240524_PPI_EM04","2026-08-15T21:31:26.460Z"
"11","2024-06-09","EM02","TCAMZ_C11_D20240609_PPI_EM02","2026-08-15T21:31:29.452Z"
"11","2024-06-25","EM02","TCAMZ_C11_D20240625_PPI_EM02","2026-08-15T21:31:30.324Z"
"11","2024-07-11","EM02","TCAMZ_C11_D20240711_PPI_EM02","2026-08-15T21:31:31.380Z"
"11","2024-07-27","EM02","TCAMZ_C11_D20240727_PPI_EM02","2026-08-15T21:31:32.700Z"
"11","2024-08-12","EM01","TCAMZ_C11_D20240812_PPI_EM01","2026-08-15T21:31:34.716Z"
"11","2024-08-28","EM03","TCAMZ_C11_D20240828_PPI_EM03","2026-08-15T21:31:36.540Z"
"11","2024-09-13","EM04","TCAMZ_C11_D20240913_PPI_EM04","2026-08-15T21:31:38.932Z"
"11","2024-09-29","EM02","TCAMZ_C11_D20240929_PPI_EM02","2026-08-15T21:31:39.892Z"
"11","2024-10-15","EM03","TCAMZ_C11_D20241015_PPI_EM03","2026-08-15T21:31:43.036Z"
"11","2024-10-31","EM01","TCAMZ_C11_D20241031_PPI_EM01","2026-08-15T21:31:45.204Z"
"11","2024-11-16","EM03|EM04","TCAMZ_C11_D20241116_PPI_EM03|TCAMZ_C11_D20241116_PPI_EM04","2026-08-15T21:31:46.332Z"
"11","2024-12-02","EM01","TCAMZ_C11_D20241202_PPI_EM01","2026-08-15T21:31:48.628Z"
"11","2024-12-18","EM03","TCAMZ_C11_D20241218_PPI_EM03","2026-08-15T21:31:54.548Z"
